i;nbseat;nb_added;execution_time
0;13;13;0.76
1;11;11;0.715
2;11;11;0.621
3;12;12;0.739
4;12;12;0.778
5;14;14;0.81
6;12;12;0.673
7;12;12;0.712
8;11;11;0.67
9;11;11;0.697
10;13;13;0.622
11;13;13;0.638
12;12;12;0.743
13;12;12;0.654
14;12;12;0.719
15;10;10;0.761
16;11;11;0.709
17;11;11;0.657
18;12;12;0.648
19;10;10;0.645
20;13;13;0.762
21;12;12;0.846
22;11;11;0.711
23;10;10;0.751
24;12;12;0.702
25;12;12;0.657
26;13;13;0.738
27;10;10;0.693
28;11;11;0.783
29;11;11;0.693
30;12;12;0.763
31;12;12;0.679
32;11;11;0.756
33;11;11;0.814
34;11;11;0.685
35;12;12;0.603
36;11;11;0.645
37;10;10;0.709
38;10;10;0.638
39;11;11;0.756
40;12;12;0.794
41;12;12;0.669
42;10;10;0.656
43;11;11;0.648
44;12;12;0.738
45;11;11;0.697
46;13;13;0.651
47;12;12;0.833
48;11;11;0.643
49;10;10;0.652
50;13;13;0.689
51;11;11;0.763
52;11;11;0.753
53;12;12;0.722
54;10;10;0.59
55;13;13;0.661
56;11;11;0.743
57;12;12;0.662
58;11;11;0.672
59;13;13;0.673
60;11;11;0.702
61;12;12;0.6
62;11;11;0.682
63;10;10;0.651
64;12;12;0.661
65;9;9;0.833
66;11;11;0.64
67;11;11;0.681
68;12;12;0.771
69;13;13;0.803
70;11;11;0.735
71;13;13;0.701
72;11;11;0.651
73;11;11;0.661
74;11;11;0.687
75;11;11;0.703
76;12;12;0.664
77;11;11;0.761
78;13;13;0.61
79;12;12;0.747
80;11;11;0.782
81;10;10;0.681
82;10;10;0.71
83;12;12;0.684
84;11;11;0.803
85;11;11;0.71
86;12;12;0.622
87;9;9;0.884
88;13;13;0.65
89;9;9;0.712
90;11;11;0.732
91;11;11;0.635
92;11;11;0.681
93;12;12;0.661
94;10;10;0.703
95;12;12;0.701
96;13;13;0.714
97;10;10;0.692
98;11;11;0.692
99;12;12;0.65
